name;level;type;ritual;casting_time;casting_time_comment;range;components;components_comment;duration;duration_comment;discription
Create Food and Water;3;conjuration;-; 1  action ;-;30 feet;V,S;-;instant;-;You create 45 pounds o f food and 30 gallons of water You create 45 pounds o f food and 30 gallons of water on the ground or in containers within range, enough to sustain up to fifteen humanoids or five steeds for 24 hours. The food is bland but nourishing, and spoils if uneaten after 24 hours. The water is clean and doesnt go bad.24 hours, you must cast this spell on the creature before the current 24-hour period ends. This use of the spell reasserts your control over up to three creatures you have animated with this spell, rather than animating new ones.At Higher Levels. W hen you cast this spell using a 7th level spell slot, you can animate or reassert control over four ghouls. W hen you cast this spell using an 8th level spell slot, you can animate or reassert control over five ghouls or two ghasts or wights. W hen you cast this spell using a 9th level spell slot, you can animate or reassert control over six ghouls, three ghasts or wights, or two mummies.
Create Undead;6;necromancy;-;1 minute;-; 10 feet;V,S,M;(one clay pot filled with grave dirt,one clay pot filled with brackish water, and one 150 gpblack onyx stone for each corpse;instant;-;You can cast this spell only at night. C hoose up to three You can cast this spell only at night. C hoose up to three corpses of M edium or Sm all humanoids within range. Each corpse becom es a ghoul under your control. (The DM has game statistics for these creatures.)As a bonus action on each of your turns, you can mentally com m and any creature you animated with this spell if the creature is within  120 feet of you (if you control multiple creatures, you can com m and any or all of them at the sam e time, issuing the same com m and to each one). You decide what action the creature w ill take and w here it will move during its next turn, or you can issue a general com m and, such as to guard a particular cham ber or corridor. If you issue no com m ands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete.The creature is under your control for 24 hours, after which it stops obeying any com m and you have given it. To maintain control of the creature for another
Create or Destroy Water;1;transmutation;-; 1  action;-;30 feet;V,S,M;(a drop of water if creating wateror a few grains of sand if destroying it;instant;-;You either create or destroy water.You either create or destroy water.Create Water. You create up to  10 gallons of clean water within range in an open container. Alternatively, the water falls as rain in a 30-foot cube within range, extinguishing exposed flames in the area.D estroy Water. You destroy up to  10 gallons of water in an open container within range. Alternatively, you destroy fog in a 30-foot cube within range.A t Higher Levels. W hen you cast this spell using a spell slot of 2nd level or higher, you create or destroy 10 additional gallons of water, or the size of the cube increases by 5 feet, for each slot level above  1st.
Creation;5;illusion;-;1 minute;-;30 feet;V,S,M;(a tiny piece of matter of the sametype of the item you plan to create;special;-;You pull w isps of shadow material from the Shadowfell You pull w isps of shadow material from the Shadowfell to create a nonliving object of vegetable matter within range: soft goods, rope, w ood, or som ething similar. You can also use this spell to create mineral objects such as stone, crystal, or metal. The object created must be no larger than a 5-foot cube, and the object must be of a form and material that you have seen before.The duration depends on the objects material. If the object is com posed of multiple materials, use the shortest duration.MaterialVegetable matterStone or crystalPrecious metalsGemsAdamantine or mithralDuration1  day12 hours1  hour10 minutes1  minuteUsing any material created by this spell as another spells material com ponent causes that spell to fail.A t Higher Levels. W hen you cast this spell using a spell slot of 6th level or higher, the cube increases by 5 feet for each slot level above 5th.
Crown of Madness;2;enchantment;-; 1  action ;-; 120 feet;V,S;-;1 minutes;-;One humanoid of your choice that you can see within One humanoid of your choice that you can see within range must succeed on a W isdom  saving throw or becom e charm ed by you for the duration. W hile the target is charm ed in this way, a twisted crown of jagged iron appears on its head, and a madness glows in its eyes.The charm ed target must use its action before moving on each of its turns to make a melee attack against a creature other than itself that you mentally choose.The target can act normally on its turn if you choose no creature or if none are within its reach.On your subsequent turns, you must use your action to maintain control over the target, or the spell ends. Also, the target can make a W isdom  saving throw at the end o f each of its turns. On a success, the spell ends.
Crusaders Mantle;3;evocation;-;1  action ;-;self;V;-;1 minutes;-;Holy power radiates from you in an aura with a 30-foot Holy power radiates from you in an aura with a 30-foot radius, awakening boldness in friendly creatures. Until the spell ends, the aura m oves with you, centered on you. W hile in the aura, each nonhostile creature in the aura (including you) deals an extra  1d4 radiant damage when it hits with a weapon attack.
Cure Wounds;1;evocation;-; 1  action ;-;touch;V,S;-;instant;-;A creature you touch regains a number of hit points A creature you touch regains a number of hit points equal to  1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.At Higher Levels. W hen you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d8 for each slot level above  1st.
Dancing Lights;0;evocation;-; 1  action ;-; 120 feet;V,S,M;(a bit of phosphorus or w ychwood,or a glowworm ;1 minutes;-;You create up to four torch-sized lights within range, You create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the duration. You can also com bine the four lights into one glowing vaguely humanoid form of M edium size. W hichever form you choose, each light sheds dim light in a  10-foot radius.As a bonus action on your turn, you can move the lights up to 60 feet to a new spot within range. A light must be within 20 feet of another light created by this spell, and a light winks out if it exceeds the spells range.
DarknessYoLo;2;evocation;-; 1  action ;-;60 feet;V,M;(bat fur and a drop of pitch orpiece of coal;concentration; up to  10 minutes;M agical darkness spreads from a point you choose M agical darkness spreads from a point you choose within range to fill a  15-foot-radius sphere for theduration. The darkness spreads around corners.A creature with darkvision cant see through this darkness, and nonm agical light cant illuminate it.If the point you choose is on an object you are holding or one that isnt being worn or carried, the darkness emanates from the object and m oves with it. Completely covering the source of the darkness with an opaque object, such as a bow l or a helm, blocks the darkness.If any of this spells area overlaps with an area of light created by a spell of 2nd level or lower, the spell that created the light is dispelled.
Darkvision;2;transmutation;-; 1  action ;-;touch;V,S,M;(either a pinch of driedcarrot or an agate;8 hours;-;You touch a willing creature to grant it the ability to You touch a willing creature to grant it the ability to see in the dark. For the duration, that creature has darkvision out to a range of 60 feet.
Daylight;3;evocation;-; 1 action ;-;60 feet;V,S;-;1 hour;-;A 60-foot-radius sphere of light spreads out from a point A 60-foot-radius sphere of light spreads out from a point you choose within range. The sphere is bright light and sheds dim light for an additional 60 feet.If you chose a point on an object you are holding or one that isnt being w orn or carried, the light shines from the object and m oves with it. Completely covering the affected object with an opaque object, such as a bowl or a helm, blocks the light.If any of this spells area overlaps with an area of darkness created by a spell of 3rd level or lower, the spell that created the darkness is dispelled.
Death Ward;4;abjuration;-; 1  action ;-;touch;V,S;-;8 hours;-;You touch a creature and grant it a measure of You touch a creature and grant it a measure of protection from death.The first time the target w ould drop to 0 hit points as a result of taking damage, the target instead drops to  1  hit point, and the spell ends.If the spell is still in effect when the target is subjected to an effect that would kill it instantaneously without dealing damage, that effect is instead negated against the target, and the spell ends.
Delayed Blast Fireball;7;evocation;-; 1  action;-; 150 feet;V,S,M;(a tiny ball of batguano and sulfur;1 minutes;-;A  beam  of yellow light flashes from  your pointing finger, A  beam  of yellow light flashes from  your pointing finger, then condenses to linger at a chosen point within range as a glowing bead for the duration. W hen the spell ends, either because your concentration is broken or because you decide to end it, the bead blossom s with a low roar into an explosion o f flame that spreads around corners. Each creature in a 20-foot-radius sphere centered on that point must make a Dexterity saving throw. A creature takes fire damage equal to the total accumulated damage on a failed save, or half as much damage on a successful one.The spells base damage is  12d6. If at the end of your turn the bead has not yet detonated, the damage increases by 1d6.If the glowing bead is touched before the interval has expired, the creature touching it must make a Dexterity saving throw. On a failed save, the spell ends immediately, causing the bead to erupt in flame. On a successful save, the creature can throw the bead up to 40 feet. W hen it strikes a creature or a solid object, the spell ends, and the bead explodes.The fire dam ages objects in the area and ignites flammable objects that arent being worn or carried.A t Higher Levels. W hen you cast this spell using a spell slot of 8th level or higher, the base damage increases by 1d6 for each slot level above 7th.
Demiplane;8;conjuration;-; 1  action ;-;60 feet;S;-;1 hour;-;You create a shadowy door on a flat solid surface that You create a shadowy door on a flat solid surface that you can see within range. The door is large enough to allow Medium creatures to pass through unhindered. W hen opened, the door leads to a demiplane that appears to be an empty room  30 feet in each dimension, made of w ood or stone. W hen the spell ends, the door disappears, and any creatures or objects inside the demiplane remain trapped there, as the door also disappears from the other side.Each time you cast this spell, you can create a new demiplane, or have the shadowy door connect to a demiplane you created with a previous casting of this spell. Additionally, if you know the nature and contents of a demiplane created by a casting of this spell by another creature, you can have the shadowy door connect to its demiplane instead.
Destructive Wave;5;evocation;-; 1  action ;-;self;V;-;instant;-;You strike the ground, crea tin g a burst of divineYou strike the ground, crea tin g a burst of divineen ergy that ripples ou tward from you. E a ch creatureyou ch oose within 30 feet of you m ust su cceed on aConstitution saving th row or take 5d6 thunder dam age,as well as 5d6 radiant or n ecrotic da m age (you r choice),and be k n ock ed prone. A creatu re that su cceeds onits saving th row takes h a lf as m u ch da m age and isn’tkn ock ed prone.
Detect Evil and Good;1;divination;-; 1  action ;-;self;V,S;-;concentration; up to  10 minutes;For the duration, you know if there is an aberration, For the duration, you know if there is an aberration, celestial, elemental, fey, fiend, or undead within 30 feet of you, as well as where the creature is located. Similarly, you know if there is a place or object within 30 feet of you that has been magically consecrated or desecrated.The spell can penetrate most barriers, but it is blocked by 1  foot of stone,  1  inch o f com m on metal, a thin sheet of lead, or 3 feet of w ood or dirt.
Detect Magic;1;divination;True; 1  action ;-;self;V,S;-;concentration; up to  10 minutes;For the duration, you sense the presence of magic For the duration, you sense the presence of magic within 30 feet of you. If you sense magic in this way, you can use your action to see a faint aura around any visible creature or object in the area that bears magic, and you learn its school of magic, if any.The spell can penetrate m ost barriers, but it is blocked by 1  foot of stone,  1  inch of com m on metal, a thin sheet of lead, or 3 feet of w ood or dirt.
Detect Poison and Disease;1;divination;True; 1  action ;-;self;V,S,M;(a yew leaf;concentration; up to  10 minutes;For the duration, you can sense the presence and For the duration, you can sense the presence and location of poisons, poisonous creatures, and diseases within 30 feet of you. You also identify the kind of poison, poisonous creature, or disease in each case.The spell can penetrate m ost barriers, but it is blocked by 1 foot of stone,  1 inch of com m on metal, a thin sheet of lead, or 3 feet of w ood or dirt.
Detect Thoughts;2;divination;-; 1  action ;-;self;V,S,M;(a copper piece;1 minutes;-;For the duration, you can read the thoughts o f certain creatures. W hen you cast the spell and as your action on each turn until the spell ends, you can focus your mind on any one creature that you can see within 30 feet of you. If the creature you choose has an Intelligence of3  or lower or doesnt speak any language, the creature is unaffected.You initially learn the surface thoughts of the creaturewhat is most on its mind in that moment. As an action, you can either shift your attention to another creatures thoughts or attempt to probe deeper into the sam e creatures mind. If you probe deeper, the target must make a W isdom  saving throw. If it fails, you gain insight into its reasoning (if any), its emotional state, and som ething that loom s large in its mind (such as som ething it w orries over, loves, or hates). If it succeeds, the spell ends. Either way, the target knows that you are probing into its mind, and unless you shift your attention to another creatures thoughts, the creature can use its action on its turn to make an Intelligence check contested by your Intelligence check if it succeeds, the spell ends.Questions verbally directed at the target creature naturally shape the course of its thoughts, so this spell is particularly effective as part of an interrogation.You can also use this spell to detect the presence of thinking creatures you cant see. W hen you cast the spell or as your action during the duration, you can search for thoughts within 30 feet of you. The spell can penetrate barriers, but 2 feet of rock,  2 inches o f any metal other than lead, or a thin sheet of lead blocks you. You cant detect a creature with an Intelligence of 3 or lower or one that doesnt speak any language.Once you detect the presence of a creature in this way, you can read its thoughts for the rest of the duration as described above, even if you cant see it, but it must still be within range.
Dimension Door;4;conjuration;-; 1  action ;-;500 feet;V;-;instant;-;You teleport yourself from  your current location to any You teleport yourself from  your current location to any other spot within range. You arrive at exactly the spot desired. It can be a place you can see, one you can visualize, or one you can describe by stating distance and direction, such as “ 200 feet straight downward” or “upward to the northwest at a 45-degree angle, 300 feet.”You can bring along objects as long as their weight doesnt exceed what you can carry. You can also bring one willing creature of your size or smaller w ho is carrying gear up to its carrying capacity. The creature must be within 5 feet of you when you cast this spell.If you w ould arrive in a place already occupied by an object or a creature, you and any creature traveling with you each take 4d6 force damage, and the spell fails to teleport you.
Disguise Self;1;illusion;-; 1  action ;-;self;V,S;-;1 hour;-;You make yourselfincluding your clothing, armor, You make yourselfincluding your clothing, armor, weapons, and other belongings on your personlook different until the spell ends or until you use your action to dism iss it. You can seem   1  foot shorter or taller and can appear thin, fat, or in between. You cant change your body type, so you must adopt a form  that has the sam e basic arrangement of limbs. Otherwise, the extent of the illusion is up to you.The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to your outfit, objects pass through the hat, and anyone w ho touches it would feel nothing or would feel your head and hair. If you use this spell to appear thinner than you are, the hand of som eone who reaches out to touch you would bump into you while it was seem ingly still in midair.To discern that you are disguised, a creature can use its action to inspect your appearance and must succeed on an Intelligence (Investigation) check against your spell save DC.
Disintegrate;6;transmutation;-; 1  action ;-;60 feet;V,S,M;(a lodestone and a pinch of dust;instant;-;A thin green ray springs from your pointing finger to a A thin green ray springs from your pointing finger to a target that you can see within range. The target can be a creature, an object, or a creation of magical force, such as the wall created by wall o f force.A creature targeted by this spell must make a Dexterity saving throw. On a failed save, the target takes 10d6 + 40 force damage. If this damage reduces the target to 0 hit points, it is disintegrated.A disintegrated creature and everything it is wearing and carrying, except magic items, are reduced to a pile of fine gray dust. The creature can be restored to life only by means of a true resurrection or a wish spell.This spell automatically disintegrates a Large or smaller nonm agical object or a creation of magical force. If the target is a Huge or larger object or creation of force, this spell disintegrates a  10-foot-cube portion of it. A m agic item is unaffected by this spell.A t Higher Levels. W hen you cast this spell using a spell slot of 7th level or higher, the damage increases by 3d6 for each slot level above 6th.
Dispel Evil and Good;5;abjuration;-; 1  action ;-;self;V,S,M;(holy water or powderedsilver and iron;1 minutes;-;Shim m ering energy surrounds and protects you from Shim m ering energy surrounds and protects you from fey, undead, and creatures originating from beyond the Material Plane. For the duration, celestials, elementals, fey, fiends, and undead have disadvantage on attack rolls against you.You can end the spell early by using either of the following special functions.Break Enchantment. As your action, you touch a creature you can reach that is charmed, frightened, or possessed by a celestial, an elemental, a fey, a fiend, or an undead. The creature you touch is no longer charmed, frightened, or possessed by such creatures.Dismissal. As your action, make a melee spell attack against a celestial, an elemental, a fey, a fiend, or an undead you can reach. On a hit, you attempt to drive the creature back to its home plane. The creature must succeed on a Charisma saving throw or be sent back to its home plane (if it isnt there already). If they arent on their hom e plane, undead are sent to the Shadowfell, and fey are sent to the Feywild.
Dispel Magic;3;abjuration;-; 1  action ;-; 120 feet;V,S;-;instant;-;Choose one creature, object, or magical effect within Choose one creature, object, or magical effect within range. Any spell of 3rd level or lower on the target ends. For each spell of 4th level or higher on the target, make an ability check using your spellcasting ability. The DC equals 10 + the spells level. On a successful check, the spell ends.A t Higher Levels. W hen you cast this spell using a spell slot of 4th level or higher, you automatically end the effects of a spell on the target if the spells level is equal to or less than the level o f the spell slot you used.
Dissonant Whispers;1;enchantment;-; 1  action ;-;60 feet;V;-;instant;-;You whisper a discordant melody that only one creature You whisper a discordant melody that only one creature of your choice within range can hear, wracking it with terrible pain. The target must make a W isdom  saving throw. On a failed save, it takes 3d6 psychic damage and must immediately use its reaction, if available, to move as far as its speed allows away from you. The creature doesnt move into obviously dangerous ground, such as a fire or a pit. On a successful save, the target takes half as much damage and doesnt have to move away. A deafened creature automatically succeeds on the save.At Higher Levels. W hen you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above  1st.
Divination;4;divination;True; 1  action ;-;self;V,S,M;(incense and a sacrificial offeringappropriate to your religion, together worth at least 25gp, which the spell consum es;instant;-;Your magic and an offering put you in contact with Your magic and an offering put you in contact with a god or a gods servants. You ask a single question concerning a specific goal, event, or activity to occur within 7 days. The DM offers a truthful reply. The reply might be a short phrase, a cryptic rhyme, or an omen.The spell doesnt take into account any possible circum stances that might change the outcome, such as the casting of additional spells or the loss or gain of a companion.If you cast the spell two or m ore times before finishing your next long rest, there is a cumulative 25 percent chance for each casting after the first that you get a random reading. The DM makes this roll in secret.
Divine  Favor;1;evocation;-;1 bonus action;-;self;V,S;-;1 minutes;-;Your prayer em powers you with divine radiance. Until Your prayer em powers you with divine radiance. Until the spell ends, your weapon attacks deal an extra  1d4 radiant damage on a hit.
Divine Word;7;evocation;-;1 bonus action;-;30 feet;V;-;instant;-;You utter a divine word, im bued with the power that You utter a divine word, im bued with the power that shaped the world at the dawn of creation. C hoose any number of creatures you can see within range. Each creature that can hear you must make a Charisma saving throw. On a failed save, a creature suffers an effect based on its current hit points:•  50 hit points or fewer: deafened for 1  minute•  40 hit points or fewer: deafened and blinded for 10 minutesfor 1  hour•  30 hit points or fewer: blinded, deafened, and stunned •  20 hit points or fewer: killed instantlyRegardless of its current hit points, a celestial, an elemental, a fey, or a fiend that fails its save is forced back to its plane of origin (if it isnt there already) and cant return to your current plane for 24 hours by any means short of a wish spell.
Dominate Beast;4;enchantment;-; 1  action;-;60 feet;V,S;-;1 minutes;-;You attempt to beguile a beast that you can see within You attempt to beguile a beast that you can see within range. It must succeed on a W isdom  saving throw or be charm ed by you for the duration. If you or creatures that are friendly to you are fighting it, it has advantage on the saving throw.W hile the beast is charmed, you have a telepathic link with it as long as the two of you are on the sam e plane of existence. You can use this telepathic link to issue com m ands to the creature while you are conscious (no action required), which it does its best to obey. You can specify a simple and general course of action, such as “Attack that creature,” “Run over there,” or “Fetch that object.” If the creature com pletes the order and doesnt receive further direction from  you, it defends and preserves itself to the best of its ability.You can use your action to take total and precise control o f the target. Until the end of your next turn, the creature takes only the actions you choose, and doesnt do anything that you dont allow it to do. During this time, you can also cause the creature to use a reaction, but this requires you to use your own reaction as well.Each time the target takes damage, it makes a new W isdom  saving throw against the spell. If the saving throw succeeds, the spell ends.A t Higher Levels. W hen you cast this spell with a 5th level spell slot, the duration is concentration, up to  10 minutes. W hen you use a 6th level spell slot, the duration is concentration, up to  1  hour. W hen you use a spell slot of 7th level or higher, the duration is concentration, up to 8 hours.
Dominate Monster;8;enchantment;-; 1  action ;-;60 feet;V,S;-;1 hour;-;You attempt to beguile a creature that you can see You attempt to beguile a creature that you can see within range. It must succeed on a W isdom  saving throw or be charm ed by you for the duration. If you or creatures that are friendly to you are fighting it, it has advantage on the saving throw.W hile the creature is charmed, you have a telepathic link with it as long as the two of you are on the same plane of existence. You can use this telepathic link to issue com m ands to the creature while you are conscious (no action required), which it does its best to obey. You can specify a simple and general course of action, such as “Attack that creature,” “Run over there,” or “Fetch that object.” If the creature com pletes the order and doesnt receive further direction from  you, it defends and preserves itself to the best of its ability.You can use your action to take total and precise control of the target. Until the end o f your next turn, the creature takes only the actions you choose, and doesnt do anything that you dont allow it to do. During this time, you can also cause the creature to use a reaction, but this requires you to use your own reaction as well.Each time the target takes damage, it makes a new W isdom  saving throw against the spell. If the saving throw succeeds, the spell ends.A t Higher Levels. W hen you cast this spell with a 9th level spell slot, the duration is concentration, up to 8 hours.
Dominate Person;5;enchantment;-; 1  action ;-;60 feet;V,S;-;1 minutes;-;You attempt to beguile a humanoid that you can see You attempt to beguile a humanoid that you can see within range. It must succeed on a W isdom  saving throw or be charm ed by you for the duration. If you or creatures that are friendly to you are fighting it, it has advantage on the saving throw.W hile the target is charmed, you have a telepathic link with it as long as the two of you are on the same plane of existence. You can use this telepathic link to issue com m ands to the creature while you are conscious (no action required), which it does its best to obey. You can specify a simple and general course of action, such as “Attack that creature,”  “Run over there,” or “Fetch that object.” If the creature com pletes the order and doesnt receive further direction from  you, it defends and preserves itself to the best of its ability.You can use your action to take total and precise control of the target. Until the end of your next turn, the creature takes only the actions you choose, and doesnt do anything that you dont allow it to do. During this time you can also cause the creature to use a reaction, but this requires you to use your own reaction as well.Each time the target takes damage, it makes a new W isdom  saving throw against the spell. If the saving throw succeeds, the spell ends.A t Higher Levels. W hen you cast this spell using a 6th level spell slot, the duration is concentration, up to  10 minutes. W hen you use a 7th level spell slot, the duration is concentration, up to  1  hour. W hen you use a spell slot of 8th level or higher, the duration is concentration, up to 8 hours.
Drawmijs Instant Summons;6;conjuration;True;1 minute;-;touch;V,S,M;(a sapphire w orth 1,000 gp;Until dispelled or triggered;-;You touch an object weighing  10 pounds or less w hose You touch an object weighing  10 pounds or less w hose longest dim ension is 6 feet or less. The spell leaves an invisible mark on its surface and invisibly inscribes the name of the item on the sapphire you use as the material component. Each time you cast this spell, you must use a different sapphire.At any time thereafter, you can use your action to speak the items name and crush the sapphire. The item instantly appears in your hand regardless of physical or planar distances, and the spell ends.If another creature is holding or carrying the item, crushing the sapphire doesnt transport the item to you, but instead you learn who the creature possessing the object is and roughly where that creature is located at that moment.Dispel magic or a similar effect successfully applied to the sapphire ends this spells effect.
Dream;5;illusion;-;1 minute;-;special;V,S,M;(a handful of sand, a dab of ink,and a writing quill plucked from a sleeping bird;8 hours;-;This spell shapes a creatures dreams. Choose a This spell shapes a creatures dreams. Choose a creature known to you as the target of this spell. The target must be on the same plane of existence as you. Creatures that dont sleep, such as elves, cant be contacted by this spell. You, or a willing creature you touch, enters a trance state, acting as a messenger. W hile in the trance, the m essenger is aware of his or her surroundings, but cant take actions or move.If the target is asleep, the m essenger appears in the targets dream s and can converse with the target as long as it remains asleep, through the duration of the spell. The m essenger can also shape the environment of the dream, creating landscapes, objects, and other images. The m essenger can emerge from the trance at any time, ending the effect of the spell early. The target recalls the dream perfectly upon waking. If the target is awake when you cast the spell, the m essenger knows it, and can either end the trance (and the spell) or wait for the target to fall asleep, at which point the m essenger appears in the targets dreams.You can make the m essenger appear monstrous and terrifying to the target. If you do, the m essenger can deliver a m essage of no m ore than ten words and then the target must make a W isdom  saving throw. On a failed save, echoes of the phantasmal monstrosity spawn a nightmare that lasts the duration of the targets sleep and prevents the target from gaining any benefit from that rest. In addition, when the target wakes up, it takes 3d6 psychic damage.If you have a body part, lock of hair, clipping from a nail, or similar portion of the targets body, the target m akes its saving throw with disadvantage.
Druidcraft;0;transmutation;-; 1  action ;-;30 feet;V,S;-;instant;-;W hispering to the spirits of nature, you create one o f the W hispering to the spirits of nature, you create one o f the following effects within range:•  You create a tiny, harm less sensory effect that predicts what the weather will be at your location for the next 24 hours. The effect might manifest as a golden orbfor clear skies, a cloud for rain, falling snowflakes for snow, and so on. This effect persists for  1  round.•  You instantly make a flower blossom , a seed pod open, or a leaf bud bloom.•  You create an instantaneous, harm less sensory effect, such as falling leaves, a puff of wind, the sound of a small animal, or the faint odor of skunk. The effect must fit in a 5-foot cube.•  You instantly light or snuff out a candle, a torch, or a small campfire.
Earthquake;8;evocation;-; 1  action ;-;500 feet;V,S,M;(a pinch o f dirt, a piece of rock,and a lump of clay;1 minutes;-;You create a seism ic disturbance at a point on the You create a seism ic disturbance at a point on the ground that you can see within range. For the duration, an intense tremor rips through the ground in a 100-foot-radius circle centered on that point and shakes creatures and structures in contact with the ground in that area.The ground in the area becom es difficult terrain.Each creature on the ground that is concentrating must make a Constitution saving throw. On a failed save, the creatures concentration is broken.W hen you cast this spell and at the end of each turn you spend concentrating on it, each creature on the ground in the area must make a Dexterity saving throw. On a failed save, the creature is knocked prone.This spell can have additional effects depending on the terrain in the area, as determined by the DM.Fissures.  Fissures open throughout the spells area at the start of your next turn after you cast the spell. A total of 1d6 such fissures open in locations chosen by the DM. Each is  1d10 x  10 feet deep,  10 feet wide, and extends from one edge of the spells area to the opposite side.A creature standing on a spot where a fissure opens must succeed on a Dexterity saving throw or fall in. A creature that successfully saves m oves with the fissures edge as it opens.A fissure that opens beneath a structure causes it to automatically collapse (see below).Structures. The tremor deals 50 bludgeoning damage to any structure in contact with the ground in the area when you cast the spell and at the start of each of your turns until the spell ends. If a structure drops to 0 hit points, it collapses and potentially dam ages nearby creatures. A creature within half the distance of a structures height must make a Dexterity saving throw. On a failed save, the creature takes 5d6 bludgeoning damage, is knocked prone, and is buried in the rubble, requiring a DC 20 Strength (Athletics) check as an action to escape. The DM can adjust the DC higher or lower, depending on the nature of the rubble. On a successful save, the creature takes half as much damage and doesnt fall prone or becom e buried.
Eldritch Blast;0;evocation;-; 1  action ;-; 120 feet;V,S;-;instant;-;A beam  of crackling energy streaks toward a creature A beam  of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1dlO force damage.The spell creates m ore than one beam  when you reach higher levels: two beam s at 5th level, three beam s at 11th level, and four beam s at 17th level. You can direct the beam s at the same target or at different ones. Make a separate attack roll for each beam.
Elemental Weapon;3;transmutation;-; 1  action ;-;touch;V,S;-;1 hour;-;A nonm agical w eapon you touch becom es a magic A nonm agical w eapon you touch becom es a magic weapon. Choose one o f the following damage types: acid, cold, fire, lightning, or thunder. For the duration, the weapon has a +1  bonus to attack rolls and deals an extra  1d4 damage of the chosen type when it hits.At Higher Levels. W hen you cast this spell using a spell slot of 5th or 6th level, the bonus to attack rolls increases to +2 and the extra damage increases to 2d4. W hen you use a spell slot of 7th level or higher, the bonus increases to +3 and the extra damage increases to 3d4.
Enhance Ability;2;transmutation;-; 1  action ;-;touch;V,S,M;(fur or a feather from a beast;1 hour;-;You touch a creature and bestow upon it a magical You touch a creature and bestow upon it a magical enhancement. Choose one of the following effects the target gains that effect until the spell ends.Bears Endurance. The target has advantage on Constitution checks. It also gains 2d6 temporary hit points, which are lost when the spell ends.Bulls Strength. The target has advantage on Strength checks, and his or her carrying capacity doubles.Cats Grace. The target has advantage on Dexterity checks. It also doesnt take damage from falling 20 feet or less if it isnt incapacitated.Eagles Splendor. The target has advantage on At Higher Levels. W hen you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd.Charisma checks.Intelligence checks.W isdom  checks.Foxs Cunning. The target has advantage on Owls Wisdom. The target has advantage on 
Enlarge/Reduce;2;transmutation;-; 1  action ;-;30 feet;V,S,M;(a pinch of powdered iron;1 minutes;-;You cause a creature or an object you can see within You cause a creature or an object you can see within range to grow larger or smaller for the duration. Choose either a creature or an object that is neither worn nor carried. If the target is unwilling, it can make a Constitution saving throw. On a success, the spell has no effect.If the target is a creature, everything it is w earing and carrying changes size with it. Any item dropped by an affected creature returns to normal size at once.Enlarge. The targets size doubles in all dimensions, and its weight is multiplied by eight. This growth increases its size by one categoryfrom Medium to Large, for example. If there isnt enough room  for the target to double its size, the creature or object attains the maximum possible size in the space available.Until the spell ends, the target also has advantage on Strength checks and Strength saving throws. The targets w eapons also grow to match its new size. W hile these weapons are enlarged, the targets attacks with them deal  1d4 extra damage.Reduce. The targets size is halved in all dimensions, and its weight is reduced to one-eighth of normal. This reduction decreases its size by one categoryfrom Medium to Small, for example. Until the spell ends, the target also has disadvantage on Strength checks and Strength saving throws. The targets weapons also shrink to match its new size. W hile these w eapons are reduced, the targets attacks with them deal  1d4 less damage (this cant reduce the damage below  1).
Ensnaring  Strike;1;conjuration;-;1 bonus action;-;self;V;-;1 minutes;-;The next time you hit a creature with a w eapon attack The next time you hit a creature with a w eapon attack before this spell ends, a writhing m ass of thorny vines appears at the point of impact, and the target must succeed on a Strength saving throw or be restrained by the magical vines until the spell ends. A Large or larger creature has advantage on this saving throw. If the target succeeds on the save, the vines shrivel away.W hile restrained by this spell, the target takes 1d6 piercing damage at the start of each of its turns. A creature restrained by the vines or one that can touch the creature can use its action to make a Strength check against your spell save DC. On a success, the target is freed.At Higher Levels. If you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.
Entangle;1;conjuration;-; 1  action ;-;90 feet;V,S;-;1 minutes;-;Grasping w eeds and vines sprout from the ground in a Grasping w eeds and vines sprout from the ground in a 20-foot square starting from  a point within range. For the duration, these plants turn the ground in the area into difficult terrain.A creature in the area when you cast the spell must succeed on a Strength saving throw or be restrained by the entangling plants until the spell ends. A creature restrained by the plants can use its action to make a Strength check against your spell save DC. On a success, it frees itself.W hen the spell ends, the conjured plants wilt away.
Enthrall;2;enchantment;-; 1  action ;-;60 feet;V,S;-;1 minutes;-;You weave a distracting string of words, causing You weave a distracting string of words, causing creatures of your choice that you can see within range and that can hear you to make a W isdom  saving throw. Any creature that cant be charm ed succeeds on this saving throw automatically, and if you or your com panions are fighting a creature, it has advantage on the save. On a failed save, the target has disadvantage on W isdom  (Perception) checks made to perceive any creature other than you until the spell ends or until the target can no longer hear you. The spell ends if you are incapacitated or can no longer speak.
